Designator,PartNumber,Value,Description,Manufacturer,MPN,Quantity
"R68","R_470R_0402","470R","SMT Resistor 470R 0402","VISHAY","CRCW0402470RFKED.","1"
"R70","R_470R_0603","470R","SMT Resistor 470R 0603","BOURNS","CR0603-JW-471GLF","1"
"R73","R_5k6_0603","5k6","SMT Resistor 5k6 0603","PANASONIC ELECTRONIC COMPONENTS","ERJ3GEYJ562V","1"
"R74, R78","R_200k_0402","200k","SMT Resistor 200k 0402","YAGEO (PHYCOMP)","RC0402FR-07200KL","2"
"R75","R_909k_0402","909k","SMT Resistor 9k31 0402","PANASONIC ELECTRONIC COMPONENTS","ERJ2RKF9093X","1"
"R79, R80","R_2k2_0402","2k2","RES, 2k2, 0402, 5%","MULTICOMP","MCWR04X2201FTL","2"
"R88, R89, R90, R91, R92, R93, R94, R95","R_5R6_0402","5R6","SMD Resistor 0402","Panasonic","ERJ2GEJ5R6X","8"
"R99","R_0R_0603","0R","SMT Resistor 0R 0603","BOURNS","CR0603-J/-000ELF","1"
"R100","R_1k54_0402","1k54","SMT Resistor 1k54 0402","VISHAY","CRCW04021K54FKED.","1"
"R102","R_53k6_0402","53k6","SMT Resistor 0402","TE CONNECTIVITY","","1"
"R103, R104","R_33R_0402","33R","RES, 33R, 0402, 1%","TE CONECTIVITY","CRG0402F33R","2"
"R105, R106","R_50R_0603_1%","50R","SMT Resistor 50R 0603 1%","VISHAY","CRCW060350R0FKEA","2"
"R112","R_47k_0402","47k","SMT Resistor 0402","MULTICOMP","MCMR04X4702FTL","1"
"R113","R_16k9_0402","16k9","SMT Resistor 0402","PANASONIC","","1"
"R114","R_10k2_0402_0.1%","10k2","RES, 10k2, 0402, 0.1%","TE CONECTIVITY","CPF0402B10K2E1","1"
"R115","R_1M_0402","1M","SMT Resistor 1M 0402","VISHAY","CRCW04021M00FKED","1"
"R117","R_100k_0402","100k","SMT Resistor 100k 0402","VISHAY","CRCW0402100KFKEDHP","1"
"R118, R119","R_1k8_0603","1k8","SMT Resistor 1k8 0603","VISHAY","CRCW06031K80FKEA","2"
"R124, R125","R_5k11_0402","5k11","SMT Resistor 5k11 0402","WALSIN","WR04X5111FTL","2"
"R131","R_100k_0402","100k","SMT Resistor 100k 0402","VISHAY","CRCW0402100KFKEDHP","1"
"SW1","","TDA02H0SB1","TDA02H0SB1 - DIP / SIP Switch, 2 Circuits, SPST, SMD, TDA Series, DIP, 24 V","C & K","","1"
"Y1","CRYSTAL_25MHz_SMD_TXC","25MHz","CRYSTAL, 25.000MHZ","TXC","7A-25.000MAAJ-T","1"
"Y2","CRYSTAL_6_MHz_SMD","MQ-6.000-12-30/30/","CRYSTAL, 6MHZ, 12PF, SMD,30ppm","MERCURY UNITED ELECTRONICS","MQ-6.000-12-30/30/-40+85","1"
